DateTime,EventId,EventType,Message,RecordId
2025-05-14 17:34:42,7001,User logon notification,User Logon Notification for Customer Experience Improvement Program,41069
2025-05-14 20:53:57,1074,System shutdown/restart initiated,The process Explorer.EXE has initiated the restart of computer AIGENT-4090 on behalf of user aigent-4090\piete for the following reason: Other (Unplanned)  Reason Code: 0x0  Shutdown Type: restart  Comment:,41183
2025-05-14 20:53:58,7002,User logoff notification,User Logoff Notification for Customer Experience Improvement Program,41203
2025-05-14 20:54:09,6006,System shutdown (Event Log service stopped),The Event log service was stopped.,41204
2025-05-14 20:54:38,6005,System startup (Event Log service started),The Event log service was started.,41217
2025-05-14 20:54:38,6013,System uptime report,The system uptime is 12 seconds.,41218
2025-05-14 20:55:25,7001,User logon notification,User Logon Notification for Customer Experience Improvement Program,41420
2025-05-15 07:43:47,41,System rebooted without cleanly shutting down,"The system has rebooted without cleanly shutting down first. This error could be caused if the system stopped responding, crashed, or lost power unexpectedly.",41571
2025-05-15 07:43:58,6008,Unexpected shutdown (previous shutdown was unexpected),The previous system shutdown at 10:54:38 PM on ‎5/‎14/‎2025 was unexpected.,41546
2025-05-15 07:43:58,6005,System startup (Event Log service started),The Event log service was started.,41548
2025-05-15 07:43:58,6013,System uptime report,The system uptime is 12 seconds.,41549
2025-05-15 07:44:49,7001,User logon notification,User Logon Notification for Customer Experience Improvement Program,41731
2025-05-15 10:30:24,1074,System shutdown/restart initiated,The process Explorer.EXE has initiated the power off of computer AIGENT-4090 on behalf of user aigent-4090\piete for the following reason: Other (Unplanned)  Reason Code: 0x0  Shutdown Type: power off  Comment:,41827
2025-05-15 10:30:26,1074,System shutdown/restart initiated,The process C:\WINDOWS\system32\winlogon.exe (AIGENT-4090) has initiated the power off of computer AIGENT-4090 on behalf of user NT AUTHORITY\SYSTEM for the following reason: No title for this reason could be found  Reason Code: 0x500ff  Shutdown Type: power off  Comment:,41848
2025-05-15 10:30:26,7002,User logoff notification,User Logoff Notification for Customer Experience Improvement Program,41849
2025-05-15 10:30:27,42,System entering sleep,The system is entering sleep.  Sleep Reason: Application API,41856
2025-05-15 14:00:05,6013,System uptime report,The system uptime is 22580 seconds.,41863
2025-05-15 14:00:47,7001,User logon notification,User Logon Notification for Customer Experience Improvement Program,41883
2025-05-15 23:12:15,1074,System shutdown/restart initiated,The process Explorer.EXE has initiated the power off of computer AIGENT-4090 on behalf of user aigent-4090\piete for the following reason: Other (Unplanned)  Reason Code: 0x0  Shutdown Type: power off  Comment:,42071
2025-05-15 23:12:16,7002,User logoff notification,User Logoff Notification for Customer Experience Improvement Program,42093
2025-05-15 23:12:18,42,System entering sleep,The system is entering sleep.  Sleep Reason: Application API,42100
2025-05-16 08:32:26,7001,User logon notification,User Logon Notification for Customer Experience Improvement Program,42142
2025-05-16 12:00:00,6013,System uptime report,The system uptime is 101776 seconds.,42231
2025-05-16 16:15:59,1074,System shutdown/restart initiated,The process Explorer.EXE has initiated the power off of computer AIGENT-4090 on behalf of user aigent-4090\piete for the following reason: Other (Unplanned)  Reason Code: 0x0  Shutdown Type: power off  Comment:,42251
2025-05-16 16:16:06,7002,User logoff notification,User Logoff Notification for Customer Experience Improvement Program,42273
2025-05-16 16:16:08,42,System entering sleep,The system is entering sleep.  Sleep Reason: Application API,42282
2025-05-17 11:07:15,7001,User logon notification,User Logon Notification for Customer Experience Improvement Program,42330
2025-05-17 11:40:50,1074,System shutdown/restart initiated,The process Explorer.EXE has initiated the restart of computer AIGENT-4090 on behalf of user aigent-4090\piete for the following reason: Other (Unplanned)  Reason Code: 0x0  Shutdown Type: restart  Comment:,42401
2025-05-17 11:40:52,7002,User logoff notification,User Logoff Notification for Customer Experience Improvement Program,42423
2025-05-17 11:40:52,6006,System shutdown (Event Log service stopped),The Event log service was stopped.,42421
2025-05-17 11:41:23,6005,System startup (Event Log service started),The Event log service was started.,42436
2025-05-17 11:41:23,6013,System uptime report,The system uptime is 11 seconds.,42437
2025-05-17 11:41:44,7001,User logon notification,User Logon Notification for Customer Experience Improvement Program,42642
2025-05-17 12:00:00,6013,System uptime report,The system uptime is 1128 seconds.,42719
2025-05-17 23:52:59,1074,System shutdown/restart initiated,The process Explorer.EXE has initiated the power off of computer AIGENT-4090 on behalf of user aigent-4090\piete for the following reason: Other (Unplanned)  Reason Code: 0x0  Shutdown Type: power off  Comment:,42765
2025-05-17 23:53:01,1074,System shutdown/restart initiated,The process C:\WINDOWS\system32\winlogon.exe (AIGENT-4090) has initiated the power off of computer AIGENT-4090 on behalf of user NT AUTHORITY\SYSTEM for the following reason: No title for this reason could be found  Reason Code: 0x500ff  Shutdown Type: power off  Comment:,42786
2025-05-17 23:53:01,7002,User logoff notification,User Logoff Notification for Customer Experience Improvement Program,42787
2025-05-18 08:42:25,41,System rebooted without cleanly shutting down,"The system has rebooted without cleanly shutting down first. This error could be caused if the system stopped responding, crashed, or lost power unexpectedly.",42823
2025-05-18 08:42:36,6008,Unexpected shutdown (previous shutdown was unexpected),The previous system shutdown at 11:41:23 PM on ‎5/‎17/‎2025 was unexpected.,42798
2025-05-18 08:42:36,6005,System startup (Event Log service started),The Event log service was started.,42800
2025-05-18 08:42:36,6013,System uptime report,The system uptime is 12 seconds.,42801
2025-05-18 08:43:22,7001,User logon notification,User Logon Notification for Customer Experience Improvement Program,42983
2025-05-18 09:45:49,1074,System shutdown/restart initiated,The process Explorer.EXE has initiated the power off of computer AIGENT-4090 on behalf of user aigent-4090\piete for the following reason: Other (Unplanned)  Reason Code: 0x0  Shutdown Type: power off  Comment:,43076
2025-05-18 09:45:50,1074,System shutdown/restart initiated,The process C:\WINDOWS\system32\winlogon.exe (AIGENT-4090) has initiated the power off of computer AIGENT-4090 on behalf of user NT AUTHORITY\SYSTEM for the following reason: No title for this reason could be found  Reason Code: 0x500ff  Shutdown Type: power off  Comment:,43097
2025-05-18 09:45:50,7002,User logoff notification,User Logoff Notification for Customer Experience Improvement Program,43098
2025-05-18 09:45:52,42,System entering sleep,The system is entering sleep.  Sleep Reason: Application API,43106
2025-05-18 19:50:52,6013,System uptime report,The system uptime is 40108 seconds.,43113
2025-05-18 19:50:59,7001,User logon notification,User Logon Notification for Customer Experience Improvement Program,43133
2025-05-18 21:30:07,1074,System shutdown/restart initiated,The process Explorer.EXE has initiated the power off of computer AIGENT-4090 on behalf of user aigent-4090\piete for the following reason: Other (Unplanned)  Reason Code: 0x0  Shutdown Type: power off  Comment:,43226
2025-05-18 21:30:14,7002,User logoff notification,User Logoff Notification for Customer Experience Improvement Program,43248
2025-05-18 21:30:15,42,System entering sleep,The system is entering sleep.  Sleep Reason: Application API,43251
2025-05-19 19:34:30,6013,System uptime report,The system uptime is 125529 seconds.,43258
2025-05-19 19:41:33,7001,User logon notification,User Logon Notification for Customer Experience Improvement Program,43286
2025-05-19 22:04:39,1074,System shutdown/restart initiated,The process Explorer.EXE has initiated the power off of computer AIGENT-4090 on behalf of user aigent-4090\piete for the following reason: Other (Unplanned)  Reason Code: 0x0  Shutdown Type: power off  Comment:,43373
2025-05-19 22:04:46,7002,User logoff notification,User Logoff Notification for Customer Experience Improvement Program,43396
2025-05-19 22:04:47,42,System entering sleep,The system is entering sleep.  Sleep Reason: Application API,43400
2025-05-20 20:56:13,6013,System uptime report,The system uptime is 216833 seconds.,43406
2025-05-20 20:56:44,7001,User logon notification,User Logon Notification for Customer Experience Improvement Program,43438
2025-05-20 21:43:36,1074,System shutdown/restart initiated,The process Explorer.EXE has initiated the power off of computer AIGENT-4090 on behalf of user aigent-4090\piete for the following reason: Other (Unplanned)  Reason Code: 0x0  Shutdown Type: power off  Comment:,43537
2025-05-20 21:43:37,7002,User logoff notification,User Logoff Notification for Customer Experience Improvement Program,43558
