6"DateTime","EventId","LogName","EventType","Level","Username","ProcessName","Message","AdditionalInfo","RecordId"
"2025/08/22 14:23:06","41","System","System rebooted without cleanly shutting down","Critical","N/A","N/A","The system has rebooted without cleanly shutting down first. This error could be caused if the system stopped responding, crashed, or lost power unexpectedly.","","73736"
"2025/08/22 14:23:16","6005","System","System startup (Event Log service started)","Information","N/A","N/A","The Event log service was started.","","73719"
"2025/08/22 14:23:16","6008","System","Unexpected shutdown (previous shutdown was unexpected)","Error","N/A","N/A","The previous system shutdown at 9:42:24 AM on ‎8/‎22/‎2025 was unexpected.","","73717"
"2025/08/22 14:23:16","6013","System","System uptime report","Information","N/A","N/A","The system uptime is 11 seconds.","","73720"
"2025/08/22 14:24:30","7001","System","User logon notification","Information","N/A","N/A","User Logon Notification for Customer Experience Improvement Program","","73905"
"2025/08/22 19:40:33","41","System","System rebooted without cleanly shutting down","Critical","N/A","N/A","The system has rebooted without cleanly shutting down first. This error could be caused if the system stopped responding, crashed, or lost power unexpectedly.","","74020"
"2025/08/22 19:40:44","6008","System","Unexpected shutdown (previous shutdown was unexpected)","Error","N/A","N/A","The previous system shutdown at 7:03:16 PM on ‎8/‎22/‎2025 was unexpected.","","73985"
"2025/08/22 19:40:44","6013","System","System uptime report","Information","N/A","N/A","The system uptime is 13 seconds.","","73988"
"2025/08/22 19:40:44","6005","System","System startup (Event Log service started)","Information","N/A","N/A","The Event log service was started.","","73987"
"2025/08/22 19:40:49","7001","System","User logon notification","Information","N/A","N/A","User Logon Notification for Customer Experience Improvement Program","","74147"
"2025/08/22 23:16:29","1074","System","System shutdown/restart initiated","Information","N/A","N/A","The process Explorer.EXE has initiated the power off of computer AIGENT-4090 on behalf of user aigent-4090\piete for the following reason: Other (Unplanned)  Reason Code: 0x0  Shutdown Type: power off  Comment:","Reason: , Comment: ","74254"
"2025/08/22 23:16:31","7002","System","User logoff notification","Information","N/A","N/A","User Logoff Notification for Customer Experience Improvement Program","","74276"
"2025/08/22 23:16:31","1074","System","System shutdown/restart initiated","Information","N/A","N/A","The process C:\WINDOWS\system32\winlogon.exe (AIGENT-4090) has initiated the power off of computer AIGENT-4090 on behalf of user NT AUTHORITY\SYSTEM for the following reason: No title for this reason could be found  Reason Code: 0x500ff  Shutdown Type: power off  Comment:","Reason: , Comment: ","74275"
"2025/08/22 23:16:32","42","System","System entering sleep","Information","N/A","N/A","The system is entering sleep.  Sleep Reason: Application API","","74279"
"2025/08/23 07:53:52","7001","System","User logon notification","Information","N/A","N/A","User Logon Notification for Customer Experience Improvement Program","","74297"
