DateTime,EventId,EventType,RecordId,SessionTag
2025-09-15 21:03:38,41,System rebooted without cleanly shutting down,82099,logoff
2025-09-15 21:03:48,6008,Unexpected shutdown (previous shutdown was unexpected),82082,logoff
2025-09-15 21:03:48,6005,System startup (Event Log service started),82084,logon
2025-09-15 21:07:48,7001,User logon notification,82233,logon
2025-09-16 06:42:39,41,System rebooted without cleanly shutting down,82335,logoff
2025-09-16 06:42:50,6005,System startup (Event Log service started),82313,logon
2025-09-16 06:42:50,6008,Unexpected shutdown (previous shutdown was unexpected),82310,logoff
2025-09-16 06:43:34,7001,User logon notification,82466,logon
2025-09-16 07:20:24,1074,System shutdown/restart initiated,82538,logoff
2025-09-16 07:20:26,1074,System shutdown/restart initiated,82564,logoff
2025-09-16 07:20:26,7002,User logoff notification,82565,logoff
2025-09-16 22:07:43,7001,User logon notification,82591,logon
2025-09-16 23:16:16,1074,System shutdown/restart initiated,82675,logoff
2025-09-16 23:16:19,7002,User logoff notification,82702,logoff
2025-09-17 06:45:49,7001,User logon notification,82722,logon
2025-09-17 07:54:17,1074,System shutdown/restart initiated,82827,logoff
2025-09-17 07:54:20,7002,User logoff notification,82851,logoff
2025-09-17 19:44:15,7001,User logon notification,82902,logon
2025-09-17 23:18:16,1074,System shutdown/restart initiated,82984,logoff
2025-09-17 23:18:19,7002,User logoff notification,83008,logoff
2025-09-18 06:42:42,7001,User logon notification,83030,logon
2025-09-18 07:33:10,1074,System shutdown/restart initiated,83100,logoff
2025-09-18 07:33:13,7002,User logoff notification,83124,logoff
2025-09-18 21:24:35,7001,User logon notification,83147,logon
2025-09-18 22:46:15,1074,System shutdown/restart initiated,83250,logoff
2025-09-18 22:46:18,7002,User logoff notification,83274,logoff
2025-09-19 14:22:43,7001,User logon notification,83306,logon
2025-09-20 00:01:41,1074,System shutdown/restart initiated,83535,logoff
2025-09-20 00:01:44,7002,User logoff notification,83557,logoff
2025-09-20 17:53:02,7001,User logon notification,83601,logon
2025-09-20 22:18:17,1074,System shutdown/restart initiated,83702,logoff
2025-09-20 22:18:20,7002,User logoff notification,83726,logoff
2025-09-21 09:23:27,7001,User logon notification,83758,logon
2025-09-21 10:05:55,1074,System shutdown/restart initiated,83813,logoff
2025-09-21 10:05:58,7002,User logoff notification,83836,logoff
2025-09-21 16:18:23,7001,User logon notification,83866,logon
2025-09-21 21:06:54,1074,System shutdown/restart initiated,83956,logoff
2025-09-21 21:06:57,7002,User logoff notification,83979,logoff
2025-09-21 22:00:10,7001,User logon notification,84005,logon
2025-09-21 23:00:48,1074,System shutdown/restart initiated,84061,logoff
2025-09-21 23:00:51,7002,User logoff notification,84085,logoff
2025-09-22 19:41:31,7001,User logon notification,84129,logon
2025-09-23 18:09:19,41,System rebooted without cleanly shutting down,84255,logoff
2025-09-23 18:09:30,6008,Unexpected shutdown (previous shutdown was unexpected),84228,logoff
2025-09-23 18:09:30,6005,System startup (Event Log service started),84230,logon
2025-09-23 18:09:53,7001,User logon notification,84425,logon
2025-09-23 20:51:11,41,System rebooted without cleanly shutting down,84543,logoff
2025-09-23 20:51:22,6005,System startup (Event Log service started),84520,logon
