"DateTime","EventId","LogName","EventType","Level","Username","ProcessName","Message","AdditionalInfo","RecordId"
"5/26/2025 11:15:08 PM","7002","System","User logoff notification","Information","N/A","N/A","User Logoff Notification for Customer Experience Improvement Program","","45146"
"5/26/2025 11:15:10 PM","42","System","System entering sleep","Information","N/A","N/A","The system is entering sleep.  Sleep Reason: Application API","","45153"
"5/27/2025 7:24:58 AM","7001","System","User logon notification","Information","N/A","N/A","User Logon Notification for Customer Experience Improvement Program","","45179"
"5/27/2025 9:17:37 AM","1074","System","System shutdown/restart initiated","Information","N/A","N/A","The process Explorer.EXE has initiated the power off of computer AIGENT-4090 on behalf of user aigent-4090\piete for the following reason: Other (Unplanned)  Reason Code: 0x0  Shutdown Type: power off  Comment:","Reason: , Comment: ","45238"
"5/27/2025 9:17:39 AM","7002","System","User logoff notification","Information","N/A","N/A","User Logoff Notification for Customer Experience Improvement Program","","45259"
"5/27/2025 9:17:40 AM","42","System","System entering sleep","Information","N/A","N/A","The system is entering sleep.  Sleep Reason: Application API","","45268"
"5/27/2025 11:08:29 AM","7001","System","User logon notification","Information","N/A","N/A","User Logon Notification for Customer Experience Improvement Program","","45294"
"5/27/2025 12:00:00 PM","6013","System","System uptime report","Information","N/A","N/A","The system uptime is 269109 seconds.","","45352"
"5/27/2025 5:42:28 PM","1074","System","System shutdown/restart initiated","Information","N/A","N/A","The process Explorer.EXE has initiated the power off of computer AIGENT-4090 on behalf of user aigent-4090\piete for the following reason: Other (Unplanned)  Reason Code: 0x0  Shutdown Type: power off  Comment:","Reason: , Comment: ","45375"
"5/27/2025 5:42:34 PM","7002","System","User logoff notification","Information","N/A","N/A","User Logoff Notification for Customer Experience Improvement Program","","45397"
"5/27/2025 5:42:36 PM","42","System","System entering sleep","Information","N/A","N/A","The system is entering sleep.  Sleep Reason: Application API","","45406"
"5/27/2025 8:33:01 PM","7001","System","User logon notification","Information","N/A","N/A","User Logon Notification for Customer Experience Improvement Program","","45431"
"5/27/2025 11:00:57 PM","1074","System","System shutdown/restart initiated","Information","N/A","N/A","The process Explorer.EXE has initiated the power off of computer AIGENT-4090 on behalf of user aigent-4090\piete for the following reason: Other (Unplanned)  Reason Code: 0x0  Shutdown Type: power off  Comment:","Reason: , Comment: ","45516"
"5/27/2025 11:00:58 PM","7002","System","User logoff notification","Information","N/A","N/A","User Logoff Notification for Customer Experience Improvement Program","","45537"
"5/27/2025 11:01:00 PM","42","System","System entering sleep","Information","N/A","N/A","The system is entering sleep.  Sleep Reason: Application API","","45544"
"5/28/2025 5:49:14 PM","6013","System","System uptime report","Information","N/A","N/A","The system uptime is 376462 seconds.","","45550"
"5/28/2025 5:55:55 PM","7001","System","User logon notification","Information","N/A","N/A","User Logon Notification for Customer Experience Improvement Program","","45581"
"5/28/2025 10:59:03 PM","1074","System","System shutdown/restart initiated","Information","N/A","N/A","The process Explorer.EXE has initiated the power off of computer AIGENT-4090 on behalf of user aigent-4090\piete for the following reason: Other (Unplanned)  Reason Code: 0x0  Shutdown Type: power off  Comment:","Reason: , Comment: ","45760"
"5/28/2025 10:59:05 PM","7002","System","User logoff notification","Information","N/A","N/A","User Logoff Notification for Customer Experience Improvement Program","","45781"
"5/28/2025 10:59:06 PM","42","System","System entering sleep","Information","N/A","N/A","The system is entering sleep.  Sleep Reason: Application API","","45784"
"5/29/2025 7:58:46 AM","7001","System","User logon notification","Information","N/A","N/A","User Logon Notification for Customer Experience Improvement Program","","45808"
"5/29/2025 10:06:55 AM","7002","System","User logoff notification","Information","N/A","N/A","User Logoff Notification for Customer Experience Improvement Program","","45932"
"5/29/2025 10:07:21 AM","6006","System","System shutdown (Event Log service stopped)","Information","N/A","N/A","The Event log service was stopped.","","45937"
"5/29/2025 10:07:57 AM","6005","System","System startup (Event Log service started)","Information","N/A","N/A","The Event log service was started.","","45950"
"5/29/2025 10:07:57 AM","6013","System","System uptime report","Information","N/A","N/A","The system uptime is 11 seconds.","","45951"
"5/29/2025 10:08:30 AM","7001","System","User logon notification","Information","N/A","N/A","User Logon Notification for Customer Experience Improvement Program","","46189"
"5/29/2025 10:11:31 AM","1074","System","System shutdown/restart initiated","Information","N/A","N/A","The process Explorer.EXE has initiated the power off of computer AIGENT-4090 on behalf of user aigent-4090\piete for the following reason: Other (Unplanned)  Reason Code: 0x0  Shutdown Type: power off  Comment:","Reason: , Comment: ","46274"
"5/29/2025 10:11:32 AM","1074","System","System shutdown/restart initiated","Information","N/A","N/A","The process C:\WINDOWS\system32\winlogon.exe (AIGENT-4090) has initiated the power off of computer AIGENT-4090 on behalf of user NT AUTHORITY\SYSTEM for the following reason: No title for this reason could be found  Reason Code: 0x500ff  Shutdown Type: power off  Comment:","Reason: , Comment: ","46296"
"5/29/2025 10:11:32 AM","7002","System","User logoff notification","Information","N/A","N/A","User Logoff Notification for Customer Experience Improvement Program","","46297"
"5/29/2025 11:13:52 AM","41","System","System rebooted without cleanly shutting down","Critical","N/A","N/A","The system has rebooted without cleanly shutting down first. This error could be caused if the system stopped responding, crashed, or lost power unexpectedly.","","46338"
"5/29/2025 11:14:02 AM","6008","System","Unexpected shutdown (previous shutdown was unexpected)","Error","N/A","N/A","The previous system shutdown at 10:07:57 AM on ‎5/‎29/‎2025 was unexpected.","","46303"
"5/29/2025 11:14:02 AM","6005","System","System startup (Event Log service started)","Information","N/A","N/A","The Event log service was started.","","46305"
"5/29/2025 11:14:02 AM","6013","System","System uptime report","Information","N/A","N/A","The system uptime is 13 seconds.","","46306"
"5/29/2025 11:15:28 AM","7001","System","User logon notification","Information","N/A","N/A","User Logon Notification for Customer Experience Improvement Program","","46498"
