date,start_time,end_time,duration_hours,session_id,session_type,is_wbso,source_type
2025-08-12,16:15:00,16:50:00,0.58,ses_0195,short_session,True,real
2025-08-12,21:15:00,22:50:00,1.58,ses_0196,short_session,True,real
2025-08-13,07:00:00,00:00:00,-7.67,ses_0197,full_day,True,real
2025-08-14,00:00:00,11:00:00,10.08,ses_0198,full_day,True,real
2025-08-15,07:15:00,18:15:00,9.42,ses_0199,full_day,True,real
2025-08-16,16:40:00,18:10:00,1.5,ses_0200,short_session,True,real
2025-08-16,22:40:00,22:45:00,0.08,ses_0201,short_session,True,real
2025-08-17,09:30:00,14:10:00,4.67,ses_0202,half_day,True,real
2025-08-18,07:45:00,18:45:00,9.08,ses_0203,full_day,True,real
2025-08-18,21:30:00,23:10:00,1.67,ses_0204,short_session,True,real
2025-08-20,20:30:00,22:40:00,2.17,ses_0205,short_session,True,real
2025-08-21,06:40:00,08:35:00,1.92,ses_0206,short_session,True,real
2025-08-21,19:55:00,00:00:00,4.08,ses_0207,half_day,True,real
2025-08-22,07:50:00,18:50:00,9.17,ses_0208,full_day,True,real
2025-08-23,07:50:00,09:30:00,1.67,ses_0209,short_session,True,real
2025-08-23,13:15:00,16:10:00,2.92,ses_0210,short_session,True,real
2025-08-23,22:45:00,00:00:00,-22.75,ses_0211,short_session,True,real
2025-08-24,00:00:00,01:15:00,1.25,ses_0212,short_session,True,real
2025-08-24,09:00:00,10:05:00,1.08,ses_0213,short_session,True,real
2025-08-24,12:45:00,14:00:00,1.25,ses_0214,short_session,True,real
2025-08-24,15:05:00,22:30:00,5.58,ses_0215,full_day,True,real
2025-08-25,20:55:00,23:35:00,2.67,ses_0216,short_session,True,real
2025-08-26,13:20:00,19:30:00,5.67,ses_0217,half_day,True,real
2025-08-26,21:15:00,22:35:00,1.33,ses_0218,short_session,True,real
2025-08-27,07:00:00,18:00:00,9.17,ses_0219,full_day,True,real
2025-08-27,21:25:00,23:20:00,1.92,ses_0220,short_session,True,real
2025-08-28,07:45:00,08:15:00,0.5,ses_0221,short_session,True,real
2025-08-28,20:15:00,22:25:00,2.17,ses_0222,short_session,True,real
2025-08-29,07:00:00,15:00:00,7.08,ses_0223,full_day,True,real
2025-08-29,18:15:00,00:00:00,-18.25,ses_0224,half_day,True,real
2025-08-30,00:00:00,00:15:00,0.25,ses_0225,short_session,True,real
2025-08-30,09:55:00,12:20:00,2.42,ses_0226,short_session,True,real
2025-08-30,12:25:00,12:25:00,0.0,ses_0227,short_session,True,real
2025-08-30,14:20:00,15:30:00,1.17,ses_0228,short_session,True,real
2025-08-30,16:10:00,22:55:00,6.08,ses_0229,half_day,True,real
2025-08-31,09:40:00,10:00:00,0.33,ses_0230,short_session,True,real
2025-09-01,20:15:00,22:55:00,2.67,ses_0231,short_session,True,real
2025-09-02,06:40:00,08:30:00,1.83,ses_0232,short_session,True,real
2025-09-02,13:45:00,22:55:00,7.17,ses_0233,full_day,True,real
2025-09-03,21:40:00,22:40:00,1.0,ses_0234,short_session,True,real
2025-09-04,11:45:00,00:00:00,-12.42,ses_0235,full_day,True,real
2025-09-06,14:15:00,21:00:00,6.0,ses_0236,half_day,True,real
2025-09-07,08:15:00,09:50:00,1.58,ses_0237,short_session,True,real
2025-09-07,10:00:00,10:00:00,0.0,ses_0238,short_session,True,real
2025-09-07,12:35:00,13:50:00,1.25,ses_0239,short_session,True,real
2025-09-07,16:30:00,18:00:00,1.5,ses_0240,short_session,True,real
2025-09-08,17:45:00,19:35:00,1.83,ses_0241,short_session,True,real
2025-09-08,19:50:00,23:15:00,3.42,ses_0242,short_session,True,real
2025-09-09,07:35:00,00:00:00,-8.0,ses_0243,full_day,True,real
2025-09-10,00:00:00,11:00:00,10.17,ses_0244,full_day,True,real
2025-09-11,07:45:00,18:45:00,9.5,ses_0245,full_day,True,real
2025-09-11,21:35:00,23:20:00,1.75,ses_0246,short_session,True,real
2025-09-12,07:10:00,00:00:00,-7.83,ses_0247,full_day,True,real
2025-09-13,00:00:00,11:00:00,9.92,ses_0248,full_day,True,real
2025-09-14,09:40:00,10:00:00,0.33,ses_0249,short_session,True,real
2025-09-14,13:30:00,14:15:00,0.75,ses_0250,short_session,True,real
2025-09-14,15:40:00,22:40:00,6.25,ses_0251,half_day,True,real
2025-09-15,09:35:00,00:00:00,-10.25,ses_0252,full_day,True,real
2025-09-16,00:00:00,07:20:00,6.75,ses_0253,half_day,True,real
2025-09-16,22:05:00,23:15:00,1.17,ses_0254,short_session,True,real
2025-09-17,06:45:00,07:55:00,1.17,ses_0255,short_session,True,real
2025-09-17,19:45:00,23:15:00,3.5,ses_0256,short_session,True,real
2025-09-18,06:40:00,07:30:00,0.83,ses_0257,short_session,True,real
2025-09-18,21:25:00,22:45:00,1.33,ses_0258,short_session,True,real
2025-09-19,14:20:00,00:00:00,-14.75,ses_0259,full_day,True,real
2025-09-20,00:00:00,00:00:00,0.0,ses_0260,short_session,True,real
2025-09-20,17:50:00,22:15:00,4.42,ses_0261,half_day,True,real
2025-09-21,09:20:00,10:05:00,0.75,ses_0262,short_session,True,real
2025-09-21,16:15:00,21:05:00,4.83,ses_0263,half_day,True,real
2025-09-21,22:00:00,23:00:00,1.0,ses_0264,short_session,True,real
2025-09-22,19:40:00,00:00:00,-19.67,ses_0265,half_day,True,real
2025-09-26,09:45:00,20:45:00,9.0,ses_0266,full_day,True,real
2025-09-27,10:30:00,13:20:00,2.83,ses_0267,short_session,True,real
2025-09-27,16:45:00,17:25:00,0.67,ses_0268,short_session,True,real
2025-09-28,14:25:00,18:40:00,4.25,ses_0269,half_day,True,real
2025-09-29,20:20:00,22:55:00,2.58,ses_0270,short_session,True,real
2025-09-30,07:40:00,00:00:00,-8.17,ses_0271,full_day,True,real
2025-10-01,00:00:00,03:40:00,3.67,ses_0272,short_session,True,real
2025-10-01,07:30:00,08:00:00,0.5,ses_0273,short_session,True,real
2025-10-01,18:10:00,21:00:00,2.83,ses_0274,short_session,True,real
2025-10-02,08:25:00,08:55:00,0.5,ses_0275,short_session,True,real
2025-10-02,21:25:00,23:15:00,1.83,ses_0276,short_session,True,real
2025-10-03,07:55:00,18:55:00,9.42,ses_0277,full_day,True,real
2025-10-04,08:35:00,19:35:00,9.33,ses_0278,full_day,True,real
2025-10-05,10:30:00,20:25:00,8.17,ses_0279,full_day,True,real
2025-10-06,20:15:00,23:00:00,2.75,ses_0280,short_session,True,real
2025-10-07,11:10:00,22:10:00,8.83,ses_0281,full_day,True,real
2025-10-08,19:15:00,23:30:00,4.25,ses_0282,half_day,True,real
2025-10-09,07:35:00,18:15:00,9.0,ses_0283,full_day,True,real
2025-10-10,07:50:00,00:00:00,-8.25,ses_0284,full_day,True,real
2025-10-12,10:35:00,13:25:00,2.83,ses_0285,short_session,True,real
2025-10-12,17:35:00,00:00:00,-17.58,ses_0286,half_day,True,real
2025-10-18,08:40:00,00:00:00,-9.33,ses_0287,full_day,True,real
2025-10-19,00:00:00,01:45:00,1.75,ses_0288,short_session,True,real
2025-10-19,09:35:00,15:20:00,5.75,ses_0289,half_day,True,real
2025-10-19,15:45:00,16:50:00,1.08,ses_0290,short_session,True,real
2025-10-19,19:05:00,20:40:00,1.58,ses_0291,short_session,True,real
2025-10-20,20:10:00,20:45:00,0.58,ses_0292,short_session,True,real
2025-10-21,06:45:00,00:00:00,-7.42,ses_0293,full_day,True,real
2025-10-22,00:00:00,08:55:00,8.08,ses_0294,full_day,True,real
2025-10-22,19:45:00,21:50:00,2.08,ses_0295,short_session,True,real
2025-10-23,20:10:00,21:20:00,1.17,ses_0296,short_session,True,real
2025-10-24,09:35:00,10:05:00,0.5,ses_0297,short_session,True,real
2025-10-24,11:15:00,14:15:00,3.0,ses_0298,short_session,True,real
2025-10-24,15:00:00,22:30:00,7.0,ses_0299,half_day,True,real
2025-10-25,10:25:00,19:40:00,7.67,ses_0300,full_day,True,real
2025-10-26,08:30:00,14:10:00,5.67,ses_0301,half_day,True,real
2025-10-27,20:00:00,22:50:00,2.83,ses_0302,short_session,True,real
2025-10-28,07:30:00,00:00:00,-8.0,ses_0303,full_day,True,real
2025-10-29,00:00:00,11:00:00,10.0,ses_0304,full_day,True,real
2025-10-30,07:35:00,08:50:00,1.25,ses_0305,short_session,True,real
2025-10-30,10:40:00,00:00:00,-11.08,ses_0306,full_day,True,real
2025-10-31,00:00:00,08:20:00,7.5,ses_0307,full_day,True,real
2025-10-31,16:00:00,00:00:00,-16.0,ses_0308,half_day,True,real
2025-11-01,00:00:00,11:00:00,10.08,ses_0309,full_day,True,real
2025-11-01,19:35:00,23:00:00,3.42,ses_0310,short_session,True,real
2025-11-02,09:10:00,11:20:00,2.17,ses_0311,short_session,True,real
2025-11-02,12:30:00,14:50:00,2.33,ses_0312,short_session,True,real
2025-11-02,21:10:00,22:25:00,1.25,ses_0313,short_session,True,real
2025-11-03,20:25:00,22:50:00,2.42,ses_0314,short_session,True,real
2025-11-04,05:15:00,08:00:00,2.75,ses_0315,short_session,True,real
2025-11-04,17:05:00,21:30:00,4.42,ses_0316,half_day,True,real
2025-11-05,07:15:00,13:35:00,5.92,ses_0317,half_day,True,real
2025-11-05,14:35:00,15:25:00,0.83,ses_0318,short_session,True,real
2025-11-05,18:00:00,21:50:00,3.83,ses_0319,half_day,True,real
2025-11-06,07:50:00,08:25:00,0.58,ses_0320,short_session,True,real
2025-11-06,11:50:00,22:15:00,8.5,ses_0321,full_day,True,real
2025-11-07,06:10:00,17:10:00,9.17,ses_0322,full_day,True,real
2025-11-08,09:40:00,00:00:00,-10.17,ses_0323,full_day,True,real
2025-11-09,00:00:00,02:30:00,2.5,ses_0324,short_session,True,real
2025-11-09,11:20:00,16:05:00,4.75,ses_0325,half_day,True,real
2025-11-10,07:25:00,08:30:00,1.08,ses_0326,short_session,True,real
2025-11-10,09:30:00,00:00:00,-10.17,ses_0327,full_day,True,real
2025-11-11,00:00:00,00:20:00,0.33,ses_0328,short_session,True,real
2025-11-11,06:45:00,08:05:00,1.33,ses_0329,short_session,True,real
2025-11-11,17:35:00,22:30:00,4.92,ses_0330,half_day,True,real
2025-11-12,07:40:00,18:40:00,9.25,ses_0331,full_day,True,real
2025-11-13,06:45:00,08:30:00,1.75,ses_0332,short_session,True,real
2025-11-13,20:15:00,22:35:00,2.33,ses_0333,short_session,True,real
2025-11-14,05:25:00,16:25:00,10.25,ses_0334,full_day,True,real
2025-11-15,09:15:00,11:00:00,1.75,ses_0335,short_session,True,real
2025-11-15,11:25:00,00:00:00,-11.83,ses_0336,full_day,True,real
2025-11-16,00:00:00,00:35:00,0.58,ses_0337,short_session,True,real
2025-11-16,12:00:00,22:25:00,8.67,ses_0338,full_day,True,real
2025-11-17,17:40:00,23:50:00,5.42,ses_0339,half_day,True,real
2025-11-18,07:45:00,08:45:00,1.0,ses_0340,short_session,True,real
2025-11-18,11:15:00,20:50:00,8.0,ses_0341,full_day,True,real
2025-11-18,22:00:00,22:25:00,0.42,ses_0342,short_session,True,real
2025-11-19,08:35:00,08:45:00,0.17,ses_0343,short_session,True,real
2025-11-19,20:00:00,22:55:00,2.92,ses_0344,short_session,True,real
2025-11-20,17:25:00,22:35:00,5.17,ses_0345,half_day,True,real
2025-11-21,07:30:00,08:30:00,1.0,ses_0346,short_session,True,real
2025-11-21,09:15:00,09:50:00,0.58,ses_0347,short_session,True,real
2025-11-21,11:20:00,00:00:00,-11.75,ses_0348,full_day,True,real
2025-11-22,00:00:00,11:00:00,9.75,ses_0349,full_day,True,real
2025-11-22,18:10:00,23:50:00,5.67,ses_0350,half_day,True,real
2025-11-23,09:45:00,20:45:00,9.5,ses_0351,full_day,True,real
