session_id,date,start_time,end_time,session_hours,activity_id,activity_name_nl,sub_activity_id,sub_activity_name_nl,sub_activity_estimated_hours,cumulative_hours,commit_count
ses_0178,2025-08-03,18:30:00,19:25:00,0.9166666666666666,security_mechanisms,Beveiligingsmechanismen Ontwikkeling,encryption_security,Encryptie en Beveiligingsmechanismen,50.0,46.18333333333332,0
ses_0179,2025-08-03,20:10:00,22:45:00,2.5833333333333335,security_mechanisms,Beveiligingsmechanismen Ontwikkeling,encryption_security,Encryptie en Beveiligingsmechanismen,50.0,48.76666666666666,0
ses_0180,2025-08-04,07:00:00,07:40:00,0.6666666666666666,security_mechanisms,Beveiligingsmechanismen Ontwikkeling,encryption_security,Encryptie en Beveiligingsmechanismen,50.0,49.43333333333332,0
ses_0181,2025-08-04,18:45:00,23:00:00,4.25,security_mechanisms,Beveiligingsmechanismen Ontwikkeling,encryption_security,Encryptie en Beveiligingsmechanismen,50.0,53.68333333333332,0
ses_0182,2025-08-05,19:25:00,19:30:00,0.08333333333333333,audit_logging_system,Audit Logging Systeem Ontwikkeling,privacy_friendly_audit,Privacyvriendelijke Audit Log Structuur,50.0,0.08333333333333333,0
ses_0183,2025-08-05,20:50:00,23:50:00,3.0,audit_logging_system,Audit Logging Systeem Ontwikkeling,privacy_friendly_audit,Privacyvriendelijke Audit Log Structuur,50.0,3.0833333333333335,0
ses_0184,2025-08-06,21:40:00,22:30:00,0.8333333333333334,audit_logging_system,Audit Logging Systeem Ontwikkeling,privacy_friendly_audit,Privacyvriendelijke Audit Log Structuur,50.0,3.916666666666667,0
ses_0185,2025-08-07,12:10:00,12:25:00,0.25,audit_logging_system,Audit Logging Systeem Ontwikkeling,privacy_friendly_audit,Privacyvriendelijke Audit Log Structuur,50.0,4.166666666666667,0
ses_0186,2025-08-07,17:25:00,22:30:00,5.083333333333333,audit_logging_system,Audit Logging Systeem Ontwikkeling,privacy_friendly_audit,Privacyvriendelijke Audit Log Structuur,50.0,9.25,0
ses_0187,2025-08-08,07:20:00,13:40:00,6.333333333333333,audit_logging_system,Audit Logging Systeem Ontwikkeling,privacy_friendly_audit,Privacyvriendelijke Audit Log Structuur,50.0,15.583333333333332,0
ses_0188,2025-08-08,17:30:00,19:00:00,1.5,audit_logging_system,Audit Logging Systeem Ontwikkeling,privacy_friendly_audit,Privacyvriendelijke Audit Log Structuur,50.0,17.083333333333332,0
ses_0189,2025-08-08,21:40:00,23:20:00,1.6666666666666667,audit_logging_system,Audit Logging Systeem Ontwikkeling,privacy_friendly_audit,Privacyvriendelijke Audit Log Structuur,50.0,18.75,0
ses_0190,2025-08-09,08:00:00,12:15:00,4.25,audit_logging_system,Audit Logging Systeem Ontwikkeling,privacy_friendly_audit,Privacyvriendelijke Audit Log Structuur,50.0,23.0,0
ses_0191,2025-08-09,20:15:00,23:00:00,2.75,audit_logging_system,Audit Logging Systeem Ontwikkeling,privacy_friendly_audit,Privacyvriendelijke Audit Log Structuur,50.0,25.75,0
ses_0192,2025-08-10,13:50:00,16:00:00,2.1666666666666665,audit_logging_system,Audit Logging Systeem Ontwikkeling,privacy_friendly_audit,Privacyvriendelijke Audit Log Structuur,50.0,27.916666666666668,0
ses_0193,2025-08-11,17:45:00,19:45:00,2.0,audit_logging_system,Audit Logging Systeem Ontwikkeling,privacy_friendly_audit,Privacyvriendelijke Audit Log Structuur,50.0,29.916666666666668,0
ses_0194,2025-08-11,21:15:00,23:25:00,2.1666666666666665,audit_logging_system,Audit Logging Systeem Ontwikkeling,privacy_friendly_audit,Privacyvriendelijke Audit Log Structuur,50.0,32.083333333333336,0
ses_0195,2025-08-12,16:15:00,16:50:00,0.5833333333333334,audit_logging_system,Audit Logging Systeem Ontwikkeling,privacy_friendly_audit,Privacyvriendelijke Audit Log Structuur,50.0,32.66666666666667,0
ses_0196,2025-08-12,21:15:00,22:50:00,1.5833333333333333,audit_logging_system,Audit Logging Systeem Ontwikkeling,privacy_friendly_audit,Privacyvriendelijke Audit Log Structuur,50.0,34.25000000000001,0
ses_0197,2025-08-13,07:00:00,23:59:00,16.983333333333334,audit_logging_system,Audit Logging Systeem Ontwikkeling,privacy_friendly_audit,Privacyvriendelijke Audit Log Structuur,50.0,51.23333333333334,0
ses_0199,2025-08-15,07:15:00,19:50:00,12.583333333333334,architecture_design,Architectuur Ontwerp en Planning,system_architecture,Systeemarchitectuur Ontwerp,50.0,12.583333333333334,0
ses_0200,2025-08-16,16:40:00,18:10:00,1.5,architecture_design,Architectuur Ontwerp en Planning,system_architecture,Systeemarchitectuur Ontwerp,50.0,14.083333333333334,0
ses_0201,2025-08-16,22:40:00,22:45:00,0.08333333333333333,architecture_design,Architectuur Ontwerp en Planning,system_architecture,Systeemarchitectuur Ontwerp,50.0,14.166666666666668,0
ses_0202,2025-08-17,09:30:00,14:10:00,4.666666666666667,architecture_design,Architectuur Ontwerp en Planning,system_architecture,Systeemarchitectuur Ontwerp,50.0,18.833333333333336,0
ses_0203,2025-08-18,07:45:00,20:00:00,12.25,architecture_design,Architectuur Ontwerp en Planning,system_architecture,Systeemarchitectuur Ontwerp,50.0,31.083333333333336,0
ses_0204,2025-08-18,21:30:00,23:10:00,1.6666666666666667,architecture_design,Architectuur Ontwerp en Planning,system_architecture,Systeemarchitectuur Ontwerp,50.0,32.75,0
ses_0205,2025-08-20,20:30:00,22:40:00,2.1666666666666665,architecture_design,Architectuur Ontwerp en Planning,system_architecture,Systeemarchitectuur Ontwerp,50.0,34.916666666666664,0
ses_0206,2025-08-21,06:40:00,08:35:00,1.9166666666666667,architecture_design,Architectuur Ontwerp en Planning,system_architecture,Systeemarchitectuur Ontwerp,50.0,36.83333333333333,0
ses_0207,2025-08-21,19:55:00,00:00:00,-19.916666666666668,architecture_design,Architectuur Ontwerp en Planning,system_architecture,Systeemarchitectuur Ontwerp,50.0,16.91666666666666,0
ses_0208,2025-08-22,07:50:00,23:15:00,15.416666666666666,architecture_design,Architectuur Ontwerp en Planning,system_architecture,Systeemarchitectuur Ontwerp,50.0,32.33333333333333,0
ses_0209,2025-08-23,07:50:00,09:30:00,1.6666666666666667,architecture_design,Architectuur Ontwerp en Planning,system_architecture,Systeemarchitectuur Ontwerp,50.0,33.99999999999999,0
ses_0210,2025-08-23,13:15:00,16:10:00,2.9166666666666665,architecture_design,Architectuur Ontwerp en Planning,system_architecture,Systeemarchitectuur Ontwerp,50.0,36.91666666666666,0
ses_0211,2025-08-23,22:45:00,23:59:00,1.2333333333333334,architecture_design,Architectuur Ontwerp en Planning,system_architecture,Systeemarchitectuur Ontwerp,50.0,38.14999999999999,0
ses_0213,2025-08-24,09:00:00,10:05:00,1.0833333333333333,architecture_design,Architectuur Ontwerp en Planning,system_architecture,Systeemarchitectuur Ontwerp,50.0,39.23333333333333,0
ses_0214,2025-08-24,12:45:00,14:00:00,1.25,architecture_design,Architectuur Ontwerp en Planning,system_architecture,Systeemarchitectuur Ontwerp,50.0,40.48333333333333,0
ses_0215,2025-08-24,15:05:00,23:45:00,8.666666666666666,architecture_design,Architectuur Ontwerp en Planning,system_architecture,Systeemarchitectuur Ontwerp,50.0,49.14999999999999,0
ses_0216,2025-08-25,20:55:00,23:35:00,2.6666666666666665,architecture_design,Architectuur Ontwerp en Planning,system_architecture,Systeemarchitectuur Ontwerp,50.0,51.816666666666656,0
ses_0217,2025-08-26,13:20:00,19:30:00,6.166666666666667,nlp_implementation,Natural Language Processing Implementatie,intent_recognition,Intentieherkenning en Semantische Interpretatie,45.0,6.166666666666667,0
ses_0218,2025-08-26,21:15:00,22:35:00,1.3333333333333333,nlp_implementation,Natural Language Processing Implementatie,intent_recognition,Intentieherkenning en Semantische Interpretatie,45.0,7.5,0
ses_0219,2025-08-27,07:00:00,19:45:00,12.75,nlp_implementation,Natural Language Processing Implementatie,intent_recognition,Intentieherkenning en Semantische Interpretatie,45.0,20.25,0
ses_0220,2025-08-27,21:25:00,23:20:00,1.9166666666666667,nlp_implementation,Natural Language Processing Implementatie,intent_recognition,Intentieherkenning en Semantische Interpretatie,45.0,22.166666666666668,0
ses_0221,2025-08-28,07:45:00,08:15:00,0.5,nlp_implementation,Natural Language Processing Implementatie,intent_recognition,Intentieherkenning en Semantische Interpretatie,45.0,22.666666666666668,0
ses_0222,2025-08-28,20:15:00,22:25:00,2.1666666666666665,nlp_implementation,Natural Language Processing Implementatie,intent_recognition,Intentieherkenning en Semantische Interpretatie,45.0,24.833333333333336,0
ses_0223,2025-08-29,07:00:00,15:00:00,8.0,nlp_implementation,Natural Language Processing Implementatie,intent_recognition,Intentieherkenning en Semantische Interpretatie,45.0,32.833333333333336,0
ses_0224,2025-08-29,18:15:00,23:59:00,5.733333333333333,nlp_implementation,Natural Language Processing Implementatie,intent_recognition,Intentieherkenning en Semantische Interpretatie,45.0,38.56666666666667,0
ses_0225,2025-08-30,00:00:00,00:15:00,0.25,nlp_implementation,Natural Language Processing Implementatie,intent_recognition,Intentieherkenning en Semantische Interpretatie,45.0,38.81666666666667,0
